AssignmentStatus,Input.document,Input.case,Answer.answer,Answer.case
Approved,"<p>In 2011, the Water, Sanitation & Hygiene program initiated the Reinvent the Toilet Challenge to bring sustainable sanitation solutions to the 2.5 billion people worldwide who don’t have access to safe, affordable sanitation.</p>",10,"In 2011, the water sanitation and Hygiene program started the reinvent the toilet challenge to convey supportable sanitation answers for the 2.5 billion individuals  overall who don't approach, moderate sanitation.",10
Approved,"<p>In 2011, the Water, Sanitation & Hygiene program initiated the Reinvent the Toilet Challenge to bring sustainable sanitation solutions to the 2.5 billion people worldwide who don’t have access to safe, affordable sanitation.</p>",10,"The 'Reinvent the Toilet Challenge' was founded in the year 2011. The Water, Sanitation and Hygiene program initiated this challenge in hopes of providing sustainable sanitation to nearly 2.5 billion people. this would provide them with safe and cost effective sanitation, which they do not already have.",10
Approved,"<p>'Many parents are unsure about when to start toilet teaching or ''potty training.'' Not all kids are ready at the same age, so it's important to watch your child for signs of readiness, such as stopping an activity for a few seconds or clutching his or her diaper.'</p>",11,"Why do so many parents have issue's with knowing when they should start to toilet train their children? The problem is not every child is the same, so the best thing you can do is stay vigilant for signs that your child may be ready to use the toilet. Grabbing onto their diaper, for instance.",11
Approved,"<p>'Many parents are unsure about when to start toilet teaching or ''potty training.'' Not all kids are ready at the same age, so it's important to watch your child for signs of readiness, such as stopping an activity for a few seconds or clutching his or her diaper.'</p>",11,"""It is common for parents to be uncertain as to the best time to initiate toilet training. Parents should be alert to signals indicating a child is ready. Signals include grabbing the diaper. Paying attention is vital because readiness at a certain age is not universal.""",11
Approved,"<p>Founded in 1938, Mitchell College is a non-profit private higher education institution located in the the urban setting of the medium-sized town of New London (population range of 10,000-49,999 inhabitants), Connecticut.</p>",12,"Established in 1938,Mitchell College is a non-benefit private advanced education foundation located in the urban setting of the medium-sized town of New London(population range of(10,000-49,999 inhabitants),Connecticut.",12
Approved,"<p>Founded in 1938, Mitchell College is a non-profit private higher education institution located in the the urban setting of the medium-sized town of New London (population range of 10,000-49,999 inhabitants), Connecticut.</p>",12,"The Mitchell College is a non-profit institution with roots dating back to 1938. We are located in the urbanized city of New London, Connecticut.",12
Approved,"<p>What are Mitchell College's admission requirements? While there are a lot of pieces that go into a college application, you should focus on only a few critical things:</p>",13,"What are the conditions for admission at Mitchell College? Although there are many components that make up a college application, aspiring students should pay attention to only a few critical things:",13
Approved,"<p>What are Mitchell College's admission requirements? While there are a lot of pieces that go into a college application, you should focus on only a few critical things:</p>",13,"I wonder which are the requirements for the Mitchell College admission? There are a lot of parts which go into an application of college, though you should be focusing only the few critical things:",13
Approved,"<p>Mitchell College is a great place if your looking to have a decent time, but is definitively no big party school. Get to know the right people and move off campus so you can learn to have your own fun or you might have thoughts of wanting to leave and never come back or offing yourself.</p>",14,"Mitchell College is not a school for those who focus on non-academic aspects of college.  To be the most successful, obtain a residence beyond the boundaries of the campus.",14
Approved,"<p>Mitchell College is a great place if your looking to have a decent time, but is definitively no big party school. Get to know the right people and move off campus so you can learn to have your own fun or you might have thoughts of wanting to leave and never come back or offing yourself.</p>",14,"Out of potential colleges to attend with a social atmosphere, Michell College is a good choice. It is not know to be rated as a high party school but it will provide a good social experience.  It will help to make friends and associate with others until you have a group with whom you can move to off campus housing.  Then you can go our and enjoy yourself with the limits of the campus rules.  Be careful about too much partying because you may find you will never want to return to college or you may fine you would even try to kill yourself.",14
Approved,"<p>In order to get dramatically different results, we have to do something dramatically different. For most organizations, KCS® represents a new way to think about knowledge, and the benefits are profound.</p>",15,"For achieving significant consequences, we will have to do something significant. like most organisations,KCS  which is known for new way of thinking,and has great benefits.",15
Approved,"<p>In order to get dramatically different results, we have to do something dramatically different. For most organizations, KCS® represents a new way to think about knowledge, and the benefits are profound.</p>",15,"Keeping in mind the end of the goal is to get drastically unique outcomes, we need to accomplish something significantly extraordinary. For most associations KCS speaks to another approach to consider information, and the advantages are significant.",15
Approved,"<p>Simply put, Knowledge Centered Support (KCS) is about treating the collective knowledge of your organization as a valuable part of how you solve problems (and prevent future ones).</p>",16,Knowledge Centered Support (KCS) is about treating the collective knowledge of your organization as a valuable part of your problem solving as well as preventing new problems.,16
Approved,"<p>Simply put, Knowledge Centered Support (KCS) is about treating the collective knowledge of your organization as a valuable part of how you solve problems (and prevent future ones).</p>",16,"It all comes to this, Knowledge Centered Support is a valuable part of how your organization solve present (and future) problems and should be treated as such.",16
Approved,"<p>KCS has a long history of providing reliable searches and abstracts of title for all of New York State, with additional staff in Schenectady, Saratoga, Albany, Rensselaer, Fulton, Montgomery, Hamilton and now Warren and Washington counties.</p>",17,"KCS has reliably provided searches and abstracts of title for a long time. KCS services all of New York State and has extra staff in the following areas: Schenectady, Saratoga, Albany, Rensselaer, Fulton, Montgomery, and Hamilton. Additionally, extra staff was recently added to Warren and Washington Counties.",17
Approved,"<p>KCS has a long history of providing reliable searches and abstracts of title for all of New York State, with additional staff in Schenectady, Saratoga, Albany, Rensselaer, Fulton, Montgomery, Hamilton and now Warren and Washington counties.</p>",17,"For reliable searches or abstracts of title for the state of New York turn to KCS.  In addition to a long history staff are available in Schenectady, Albany, Saratoga, Fulton, Rensselaer and even Washington and Warren counties.",17
Approved,<p>International travel. JetBlue and our airline partners can take you to hundreds of destinations around the world. Make sure you have all the information you need.</p>,18,Travel internationally to hundreds of destination with JetBlue and our airline partners. Ensure that you have all the information you need.,18
Approved,<p>International travel. JetBlue and our airline partners can take you to hundreds of destinations around the world. Make sure you have all the information you need.</p>,18,Looking for information on international travel? Let JetBlue and our partnering companies whisk you away to any of our hundreds of destinations around the globe!,18
Approved,<p>Need to make a change to your reservation? Does Total Rewards Air sound like too much fun and excitement. Here you will find detailed information regarding our change and cancellation policy.</p>,19,"If you need to change your reservation or if Total Rewards Air sounds like a lot of fun and excitement, then you can change or cancel using the information here.",19
Approved,<p>Need to make a change to your reservation? Does Total Rewards Air sound like too much fun and excitement. Here you will find detailed information regarding our change and cancellation policy.</p>,19,You can find detailed information about our change and cancellation policy if you need to make a change to your reservation. Total Rewards Air may sound like too much fun and excitement for you.,19
Approved,"<p>This is an old subject in the forum and one that I have researched in old threads. In spite of my research, I still feel uncertain. I took a Travolin on my last European trip which proved to be ideally suited for extensive travel by plane, boat, bus and train.</p>",20,"This is an old topic that I have researched in various threads. I still feel unsure, in spite of all I've read. On my last journey to Europe, I took a Travolin, and that seemed to work well for extensive travel by boat, bus, plane, and train.",20
Approved,"<p>This is an old subject in the forum and one that I have researched in old threads. In spite of my research, I still feel uncertain. I took a Travolin on my last European trip which proved to be ideally suited for extensive travel by plane, boat, bus and train.</p>",20,"This is based upon a previous forum post and one I have studied in past threads. I used a Travolin transport and not sure how I feel about it. It is very popular in Europe where the price is the best around considering the high expense of bus, boat, plane and trains these days.",20
Approved,"<p>Andrew Wieland has conducted numerous real estate appraisals for my clients over the years . Without exception , all of my clients have been very satisfied with the friendly , prompt and very professional services rendered by Andrew on their behalf.</p>",21,"Andrew Wieland has performed many real estate appraisals for my clients. Without fail, every one of my clients has been very happy with his kind, prompt, and professional services given by Andrew on their behalf.",21
Approved,"<p>Andrew Wieland has conducted numerous real estate appraisals for my clients over the years . Without exception , all of my clients have been very satisfied with the friendly , prompt and very professional services rendered by Andrew on their behalf.</p>",21,"For years, my clients have relied on Andrew Wieland for real estate appraisals. Andrew's friendliness and professionalism have left all of my clients completely satisfied with his service.",21
Approved,"<p>Leila Dunbar LLC prepares written appraisals for sports, entertainment, wine, and pop culture (toys, advertising, automotive, movie posters, comics, etc.)</p>",22,"Written appraisals for sport, entertainment, wine and pop culture-like toys, advertisng, automovie, movie posters, comics, etc. are prepared by Leila Dunbar LLC.",22
Approved,"<p>Leila Dunbar LLC prepares written appraisals for sports, entertainment, wine, and pop culture (toys, advertising, automotive, movie posters, comics, etc.)</p>",22,"For consumers of all sorts of goods, it can help to have an idea of what you are in for before you get started. If you're looking to peruse sports, entertainment, wine, or pop culture to include toys, advertising, cars, posters, graphic novels, or what have you, then Leila Dunbar LLC is the company for you. They prepare print reviews of all of these different products.",22
Approved,"<p>Biegel & Perra Appraisals are Appraisal Institute of Canada (AIC) certified residential appraisers serving the Peace Country of Alberta, Fort McMurray, and Dawson Creek and surrounding area in British Columbia from our office in Grande Prairie, Alberta.</p>",23,"The Appraisal Institute of Canada (AIC) certified residential appraisers, Biegel & Perra Appraisals are serving the Peace Country of Alberta, Dawson Creek, Fort McMurray, and the surrounding area in British Columbia from the office in Grande Prairie, Alberta.",23
Approved,"<p>Biegel & Perra Appraisals are Appraisal Institute of Canada (AIC) certified residential appraisers serving the Peace Country of Alberta, Fort McMurray, and Dawson Creek and surrounding area in British Columbia from our office in Grande Prairie, Alberta.</p>",23,"The Appraisal Institute of Canada named Biegel & Perra Appraisals provides service for the Peace County of Alberta, Forty McMurray, and Dawson Creek areas. They also provide service to the British Columbia area in Grande Prairie, Alberta.",23
Approved,"<p>In a perfect world, your car would never break, and if it did, magic fairies would fly into your car with a stack of fresh parts and fix it for you.</p>",24,Imagine cars that would never break or fairies so small they would fly into your vehicle and fix whatever was wrong with brand new parts.  That's a perfect world.,24
Approved,"<p>In a perfect world, your car would never break, and if it did, magic fairies would fly into your car with a stack of fresh parts and fix it for you.</p>",24,"In an ideal world, your motorize vehicle would have an issue that you had to fix but if it did magic fairies would fly to your house to fix it for you with an unlimited supply of brand new parts.",24
Approved,"<p>Fast, efficient, and professional, Orthodox Auto Company has one of the largest assortments of used auto parts in Pennsylvania and the South Jersey area.</p>",25,"Orthodox Auto Company is fast, efficient, and professional and has auto parts of one of the largest assortments in the South Jersey area and Pennsylvania.",25
Approved,"<p>Fast, efficient, and professional, Orthodox Auto Company has one of the largest assortments of used auto parts in Pennsylvania and the South Jersey area.</p>",25,"Orthodox Auto Company has a large variety of used auto parts in South Jersey and Pennsylvania. They are professional, efficient, and quick.",25
Approved,"<p>Welcome to Elite Used Auto Parts, Tampa, Florida. We carry used auto parts for cars and trucks, recycled auto parts as well as new aftermarket auto parts online.</p>",26,"We were welcomed by Elite Used Auto Parts,which is located in Tampa, FLorida. They said that they are selling auto parts for cars and trucks,recycled auto parts and new aftermarket auto parts through online.",26
Approved,"<p>Welcome to Elite Used Auto Parts, Tampa, Florida. We carry used auto parts for cars and trucks, recycled auto parts as well as new aftermarket auto parts online.</p>",26,"Welcome to Elite Used Auto Parts, Tampa,Florida, We covey utilized automobile parts for autos an trucks, reused car parts and in addition new seller's exchange vehicle parts on the web.",26
Approved,"<p>High-speed cable is widely available through Time Warner Cable. Starting in the northern neighborhoods of Dretzka Park and Pheasant Run, the network runs through the central communities of Hillside and Concordia before reaching Maitland Park and Copernicus Park in the south.</p>",27,"Time Warner has widely available high speed cable. Starting near Dretzka Park and Pheasant Park, the service runs through Hillside and Concordia, before ending in the southern neighborhoods of Maitland and Copernicus Park.",27
Approved,"<p>High-speed cable is widely available through Time Warner Cable. Starting in the northern neighborhoods of Dretzka Park and Pheasant Run, the network runs through the central communities of Hillside and Concordia before reaching Maitland Park and Copernicus Park in the south.</p>",27,"The Time Warner Cable has high-speed cable readily available in this area.  The network starts in Dretzka Park and Pheasant Run, two neighborhoods in the north.  From their it runs into the central communities Hillside and Concordia.  Then it reaches the southern communities Maitland Park and Copernicus Park.",27
Approved,"<p>South Korea is the world leader in Internet connectivity, having the world's fastest average internet connection speed.</p><p>It also has the cheapest, fastest broadband in the world. Now there are experiments with speeds of 1 Gigabit per second.</p>",28,"Leading the world in access to high speed Internet, South Korea boasts the fastest connection speeds on average when compared to all other nations.

In addition to being the fastest, it is also the most affordable and speed continues to improve, with 1 Gigabit per second connections being currently tested.",28
Approved,"<p>South Korea is the world leader in Internet connectivity, having the world's fastest average internet connection speed.</p><p>It also has the cheapest, fastest broadband in the world. Now there are experiments with speeds of 1 Gigabit per second.</p>",28,"The country with the world's fastest internet connection speed is South Korea, where broadband internet is also the cheapest. Experiments show speeds of 1 Gig per second.",28
Approved,"<p>Two thirds of the world’s population does not yet have internet access, Google says on the Project Loon website. The tech giant’s network of balloons travelling on the edge of space aims to connect people living in rural areas, help fill internet coverage gaps and bring communities back online after disasters.</p>",29,"According to the Project Loon website,  two thirds of the world's people still lack access to the internet. Google, aims to connect people in rural areas,  help fill internet dead spots, and bring communities online after disasters by using their huge network of balloons traveling in space.",29
Approved,"<p>Two thirds of the world’s population does not yet have internet access, Google says on the Project Loon website. The tech giant’s network of balloons travelling on the edge of space aims to connect people living in rural areas, help fill internet coverage gaps and bring communities back online after disasters.</p>",29,Google states on their Project Loon website that two thirds of the world's population doe snot have access to the internet. Google aims to connect people living in rural areas through a network of balloons travelling on the edge of space. This will help fill coverage gaps in the internet and will bring people online after a disaster.,29
Approved,"<p>GMAT prep courses are available either online or on the University of Minnesota Minneapolis campus. Early registration for GMAT prep courses is encouraged, as courses often sell out.</p>",30,"You'll want to register early for GMAT prep courses through the University of Minnesota, Minneapolis.  The courses often sell out, so register while space is still available.",30
Approved,"<p>GMAT prep courses are available either online or on the University of Minnesota Minneapolis campus. Early registration for GMAT prep courses is encouraged, as courses often sell out.</p>",30,You can find GMAT prep courses on the University of Minnesota Minneapolis campus or online. It's encouraged that you register early before they sell out.,30
Approved,"<p>When scouring for the top GMAT prep courses you are looking for topnotch study materials, among many other things. It’s not an easy task to find the best when there are many great options, but we found seven to be exemplary with Kaplan ranking as the number one choice.</p>",31,"When searching for the GMAT prep courses you are looking for best study materials,among many other things.It's not an easy task to find the best when there are many great options,but we found seven to be honourable with kaplan ranking as the number one choice",31
Approved,"<p>When scouring for the top GMAT prep courses you are looking for topnotch study materials, among many other things. It’s not an easy task to find the best when there are many great options, but we found seven to be exemplary with Kaplan ranking as the number one choice.</p>",31,"When you are searching for the best GMAT prep courses so you are also looking for best study materials among different things. It is a difficult task to find the best when there are many good options , but we have found seven to be exceptional with Kaplan taking the top rank.",31
Approved,<p>To register for the GMAT Prep class please click on the registration link located on the left-hand side navigation menu. It is labeled GMAT Prep Registration form.</p>,32,"If you would like to register for the GMAT Prep  class, go over to the left side of the navigation menu and click the link that says GMAT Prep Registration form.",32
Approved,<p>To register for the GMAT Prep class please click on the registration link located on the left-hand side navigation menu. It is labeled GMAT Prep Registration form.</p>,32,"Click the ""GMAT Prep Registration form"" link on the left side of the navigation menu to register for the GMAT Prep class.",32
Approved,"<p>DJ Magazine (also known as DJ Mag) is a British monthly magazine dedicated to electronic dance music and Djs. Founded in 1991, the magazine is adapted for distribution in UK, USA, Spain, France, Italy, Latin America, China, South Korea, Indonesia and The Netherlands.</p>",33,"DJ Magazine is a monthly British magazine based on electronic dance music and DJs.  It was founded in 1991 and adapted for the following countries: UK, USA, Spain, France, Italy, Latin America, China, South Korea, Indonesia, and The Netherlands.",33
Approved,"<p>DJ Magazine (also known as DJ Mag) is a British monthly magazine dedicated to electronic dance music and Djs. Founded in 1991, the magazine is adapted for distribution in UK, USA, Spain, France, Italy, Latin America, China, South Korea, Indonesia and The Netherlands.</p>",33,"A British monthly magazine focusing on DJs and electronic dance music was founded in 1991. Known as DJ Magazine or DJ Mag, it has a wide distribution both in and outside the UK as it is also adapted for distribution in China, France, Indonesia, Latin America, South Korea, Spain, The Netherlands, and the U.S.",33
Approved,"<p>Located in Hudsonville Plaza since 1982, DJ'S Pizza Pub went under an expansion, doubling the size of dining, kitchen, and adding a bar.</p>",34,DJ's Pizza Pub went under an expansion adding a bar and doubling the size of the kitchen and dining areas.  It's located at the Hudsonville Plaza since 1982.,34
Approved,"<p>Located in Hudsonville Plaza since 1982, DJ'S Pizza Pub went under an expansion, doubling the size of dining, kitchen, and adding a bar.</p>",34,"Situated in Hudsonville Plaza since 1982,DJ'S Pizza Pub undergone an extension by multiplying the extent of feasting,kitchen and including a bar.",34
Approved,<p>Bulls DJs each bring their own style and creativity spinning at the Bulls home games. Whether mixing during pregame and halftime or helping curate music for timeouts our Bulls DJs are an integral part of the game day entertainment.</p>,35,The DJs from Bulls have their unique style when playing records at home games. DJs have a creative way of mixing music throughout the games. They form a very important part of offering entertainment to the crowd at Bulls games.,35
Approved,<p>Bulls DJs each bring their own style and creativity spinning at the Bulls home games. Whether mixing during pregame and halftime or helping curate music for timeouts our Bulls DJs are an integral part of the game day entertainment.</p>,35,"Bulls home games wouldn't be complete without the Bulls DJs. They infuse game day with their unique personalities and energy, both during pregame mixing and building a playlist of music for timeouts.",35
Approved,"<p>Introduction. Concept maps are graphical tools for organizing and representing knowledge. They include concepts, usually enclosed in circles or boxes of some type, and relationships between concepts indicated by a connecting line linking two concepts.</p>",36,"Introduction. Concept maps are graphical tools for showing and  organizing knowledge.  Concept maps include concepts, normally inside of shapes like boxes or circles of some fashion and relationships between concepts shown by a line going from each of the two concepts.",36
Approved,"<p>Introduction. Concept maps are graphical tools for organizing and representing knowledge. They include concepts, usually enclosed in circles or boxes of some type, and relationships between concepts indicated by a connecting line linking two concepts.</p>",36,"Representing and organizing knowledge can be made easier with concept maps, a type of graphical tool. This includes different shapes and relationships between two concepts connected by a line.",36
Approved,"<p>Companies like Uber want to capture emerging markets, but some consumers aren’t on their map.</p>",37,"Organisations similar to uber need to catch developing markets,yet a few shoppers aren't on their guide.",37
Approved,"<p>Companies like Uber want to capture emerging markets, but some consumers aren’t on their map.</p>",37,Uber and other companies like it want to capture the emerging markets but not all consumers are in their map.,37
Approved,<p>The permit maps below will show you which states you can carry concealed in as well as which state’s permits are honored in a particular state. If you have a concealed carry permit and want to know which state you can carry in use the default map “States That Honor My Permit(s).</p>,38,"Below are permit maps which show which states honor which particular states concealed carry permit. Use the default map ""States that honor my permit(s)"" if you have a concealed carry permit and want to know which state you can carry.",38
Approved,<p>The permit maps below will show you which states you can carry concealed in as well as which state’s permits are honored in a particular state. If you have a concealed carry permit and want to know which state you can carry in use the default map “States That Honor My Permit(s).</p>,38,"You can use the map below to find which states allow you to conceal and carry. It will also tell which states accept your permit. The default map, states that honor my permit, will help you find which states  you can conceal and carry in.",38
Approved,"<p>Dinosaurs lived more than 65 million years ago. Scientists study fossil remains of bones, tracks, and dung to learn about dinosaurs and you can too! Get facts, photos, videos, and games below.</p>",39,"More than 65 million years ago dinosaurs lived on earth. Fossil remains of bones, tracks, and dung allow scientists to learn more about these creatures. You can get facts, videos, photos, and games below.",39
Approved,"<p>Dinosaurs lived more than 65 million years ago. Scientists study fossil remains of bones, tracks, and dung to learn about dinosaurs and you can too! Get facts, photos, videos, and games below.</p>",39,"Dinosaurs lived more than 65 million years prior. researchers examine  fossils stays of bones, tracks and manure to find out about dinosaurs and you can as well! Get realities, photographs, recordings,and amusement beneath.",39
Approved,"<p>The prehistoric reptiles known as dinosaurs arose during the Middle to Late Triassic Period of the Mesozoic Era, some 230 million years ago.</p><p>Scientists first began studying dinosaurs during the 1820s, when they discovered the bones of a large land reptile they dubbed a Megalosaurus (“big lizard”) buried in the English countryside.</p>",40,"The Middle to late Triassic Period of the Mesozoic Era, around 230 million years ago, gave rise to the dinosaurs.

When large bones of reptiles, later to be known as Megalosaurus, which literally means 'big lizard', were dug up in the 1820's in the English countryside, scientists began their study of dinosaurs.",40
Approved,"<p>The prehistoric reptiles known as dinosaurs arose during the Middle to Late Triassic Period of the Mesozoic Era, some 230 million years ago.</p><p>Scientists first began studying dinosaurs during the 1820s, when they discovered the bones of a large land reptile they dubbed a Megalosaurus (“big lizard”) buried in the English countryside.</p>",40,"Dinosaurs are prehistoric reptiles who emerged during the Middle to late triassic period of mesozoic era, around 230 million years ago.

Study on dinosaurs by scientist first began during 1820 , when they found bones of a large terrestrial reptile which they called a ""Megalosaurus"" (""big lizard"")
buried deep in English countryside",40
Approved,"<p>The last dinosaurs roamed what is now the Western Interior of North America. Then global catasprophe ended their reign, leaving only a single group of dinosaurs -- birds -- to survive.</p>",41,The final dinosaurs that walked the Earth were found in the Western Interior of North America. A catastrophic global event ended these dinosaurs leaving only birds.,41
Approved,"<p>The last dinosaurs roamed what is now the Western Interior of North America. Then global catasprophe ended their reign, leaving only a single group of dinosaurs -- birds -- to survive.</p>",41,"Due to extinction, birds are the only individual group of dinosaurs to survive.  When the dinosaurs were living they resided in North America in the Western Interior region.  Dinosaurs are no longer surviving due to global changes that contributed to their extinction.",41
Approved,<p>Working at ESPN is unlike anything else. That’s because we’re always finding new ways to interact with fans – however and wherever they connect with sports.</p>,42,"You won't find another job like a job with ESPN. At ESPN, we constantly discover methods of connecting with sports enthusiasts, no matter how these fans relate to athletic contests.",42
Approved,<p>Working at ESPN is unlike anything else. That’s because we’re always finding new ways to interact with fans – however and wherever they connect with sports.</p>,42,ESPN is a pretty unique company to work for. One of the things that makes them so unique is their connection with the fans. They are always innovating ways to interact with them through sports.,42
Approved,"<p>A spectrum of stories, styles, and sports, this collection of athletically-minded short films will take audiences on a decades-spanning journey through some of the most unexpected and entertaining tales from sports legends and amateurs alike.</p>",43,"This film collection contains an array of stories, styles, and sports that will take viewers on an adventure through some of the most amusing and unpredictable tales from both sports professionals and amateurs.",43
Approved,"<p>A spectrum of stories, styles, and sports, this collection of athletically-minded short films will take audiences on a decades-spanning journey through some of the most unexpected and entertaining tales from sports legends and amateurs alike.</p>",43,"These short films show the audience athletic stories, styles, and sports. Stores are told from sports legends and regular people to show the audience old and new tales.",43
Approved,<p>ESPN Wide World of Sports® Complex is the home of exhilarating experiences which ignite passion and fuel the spirits. The 220-acre facility plays host to over 170 amateur and professional events each year.</p>,44,"ESPN Wide World of Sports Complex, a 220-acre facility, hosts over 170 amateur and professional events each year. It provides exhilarating experiences, igniting passion and fueling spirits.",44
Approved,<p>ESPN Wide World of Sports® Complex is the home of exhilarating experiences which ignite passion and fuel the spirits. The 220-acre facility plays host to over 170 amateur and professional events each year.</p>,44,ESPN Wide World of Sports Complex is the home of experiences that are exhilarating and that passion is ignited and the spirits are fueled. This facility that plays host to over 170 amateur and professional events each year is a 220-acre facility.,44
