AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer
Approved,130,"<p>​Thames Academy can prepare your son or daughter to succeed – academically, socially and emotionally – in college. Get started today by applying for admission. </p>",9,Ensure the success of your child in higher education by filling out an application to enroll at Thames Academy. Don't delay!
Approved,177,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,10,"A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset."
Approved,476,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,10,"Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset."
Approved,96,"<p>The KCS® initiative consists of two components: a tactical discussion on KCS adoption and success, and a strategic discussion about the evolution of KCS and what is next. </p>",11,"There are two distinct aspects of the KCS initiative. The first component is a strategic discussion on how to successfully adopt KCS, and the second is a discussion of how KCS has evolved as well as future opportunities that may lie ahead."
Approved,857,"<p>The KCS® initiative consists of two components: a tactical discussion on KCS adoption and success, and a strategic discussion about the evolution of KCS and what is next. </p>",11,"Integrally,the KCS® initiative constitutes of two essential elements, former being tactical discussion based on KCS assumption and triumph while the latter being strategic or planned discussion about advancement of KCS and next what."
Approved,78,"<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",12,"Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel."
Approved,139,"<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",12,"Air travel is defined as transportation by airborne vehicles such as blimps, helicopters, airplanes, hot air balloons and jets.  Because it includes anything that can keep flight for an extended period, air travel can also be by gliders, parachuting or hang gliding."
Approved,325,<p>Always use the information exactly as it appears on your passport (to book and fill out any documents).</p><p>Passport cards will not be accepted as form of I.D. for international air travel. </p>,13,"You should always use the info exactly as you see it on your passport to make reservations and fill out any paperwork.

Passport cards aren't taken as a form of identification for international air travel."
Approved,250,<p>Always use the information exactly as it appears on your passport (to book and fill out any documents).</p><p>Passport cards will not be accepted as form of I.D. for international air travel. </p>,13,"When completing any documents requiring information from your passport, please check to make sure all of the information matches that of the information contained within your passport. 

Please note that passport cards are not an acceptable form of identification (I.D.) for international air travel. A valid form of I.D. is required for international air travel."
Approved,502,"<p>When you're buying a home using a mortgage, refinancing your existing mortgage, or selling your home to anyone other than an all-cash buyer, the home appraisal is a key component of the transaction.</p><p>Appraisals are almost always used in purchase and sale transactions and commonly used in refinance transactions. In a purchase and sale transaction, an appraisal is used to determine whether the home's contract price is appropriate given the home's condition, location, and features. In a refinance, it assures the lender that it isn't handing the borrower more money than the home is worth.  </p>",14,"When you purchase a house using a mortgage, are refinancing an existing mortgage, or selling your house, the home appraisal is a key component of your transaction.

Appraisals can be used in purchase and sale transactions and also refinances.  An appraisal is used in a purchase and sale transaction to determine if the home's contract price is appropriate provided the home's condition, location, and features.  For a refinance it give assurance to the lender that they aren't giving the borrower more than the house is worth."
Approved,552,"<p>When you're buying a home using a mortgage, refinancing your existing mortgage, or selling your home to anyone other than an all-cash buyer, the home appraisal is a key component of the transaction.</p><p>Appraisals are almost always used in purchase and sale transactions and commonly used in refinance transactions. In a purchase and sale transaction, an appraisal is used to determine whether the home's contract price is appropriate given the home's condition, location, and features. In a refinance, it assures the lender that it isn't handing the borrower more money than the home is worth.  </p>",14,"When you purchase a house using a mortgage, refinancing a mortgage, or selling a home appraisal is a key component of the deal.

Appraisals are used in buying or selling transactions and commonly used in refinance transactions. In a purchase and sale scenario, an appraisal is used to decide whether the home's contract price is right when given the home's condition, location, and features. In a refinance it make the lender feel better that they are not handing the borrower more money than what the home is worth."
Approved,142,<p>Are you interested in learning about the history and value of your property or how to sell at auction? Skinner offers a complete range of appraisal and auction services designed to assist you in making decisions to fit your needs. </p>,15,"If you are interested in learning about the history and how much your property is worth or how to sell it auction, Skinner provides a full range of auction and appraisal services to help you make the decisions to fit your needs."
Approved,353,<p>Are you interested in learning about the history and value of your property or how to sell at auction? Skinner offers a complete range of appraisal and auction services designed to assist you in making decisions to fit your needs. </p>,15,"Skinner has a fulfilling service to learn about value and history of properties.  Also, you can learn how to sell at auctions if you are interested.  Our appraisal services could help you in making a better decision for your needs."
Approved,465,"<p>Don't waste time digging through salvage yards. Use our state-of-the-art used auto parts system, updated daily, to find used car parts near you. Get started today! </p>",16,"not waste time diggings through the repair shops. Use our new generation modern parts, refurbished daily, to find used car parts adjacent to you. Start today"
Approved,126,"<p>Don't waste time digging through salvage yards. Use our state-of-the-art used auto parts system, updated daily, to find used car parts near you. Get started today! </p>",16,"Do you need to find used car parts? You could spend your time searching through junk yards, but there is a better way to get started.  Using our high quality used auto parts system will get you the updated results you need to find the parts close to you."
Approved,154,"<p>NationWide Used Auto Parts is a family run business with over three decades of experience in the automotive recycling industry. With hundreds of late model foreign and domestic cars on premise, we are confident we can help you with all of your used auto part needs. </p>",17,"Nationwide Used Auto Parts is a business run by a family with more than thirty years of experience in the car part recycling industry.  With a few hundred late model foreign and local cars on site, we are positive that we can assist you with any, and all, of your used car part needs."
Approved,429,"<p>NationWide Used Auto Parts is a family run business with over three decades of experience in the automotive recycling industry. With hundreds of late model foreign and domestic cars on premise, we are confident we can help you with all of your used auto part needs. </p>",17,nationwide used auto parts is a family business that has been running for three decades. we have hundreds of late model foreign and domestic cars so we are certain to be able to help you.
Approved,162,"<p>RCN DC Metro offers award winning high speed Internet service with our fastest speeds up to 1000 Mbps! You can surf, game, stream, and connect wirelessly to multiple devices through RCN’s powerful fiber-optic network. </p>",18,RCN DC Metro has high speed Internet. You can do anything on your computer because it goes up to 1000 Mbps!
Approved,152,"<p>RCN DC Metro offers award winning high speed Internet service with our fastest speeds up to 1000 Mbps! You can surf, game, stream, and connect wirelessly to multiple devices through RCN’s powerful fiber-optic network. </p>",18,"RCN DC Metro delivers award winning high speed Internet services, with some of our fastest speeds up to 1000 Mbps!  You can surf the web, play games, stream, and even connect multiple devices wirelessly through RCN's powerful fiber-optic network."
Approved,31,"<p>Internet access has become such an important fixture in our lives that, in most American households, it’s considered a required monthly utility, along the lines of the electric or phone bill. </p>",19,Internet access is important for most Americans because they depend on it to do a lot of things. It's required just like any other utility.
Approved,104,"<p>Internet access has become such an important fixture in our lives that, in most American households, it’s considered a required monthly utility, along the lines of the electric or phone bill. </p>",19,"Similarly to an electric bill, Americans now consider the internet a required utility. It has become a regular part of their everyday life."
Approved,63,"<p>Plan your GMAT test prep around your schedule with live online GMAT prep courses, private tutoring, and other Kaplan options designed to help you get the most out of your prep. </p>",20,"Kaplan options are designed to help you get the most out of your prep. Use live online GMAT prep courses, private tutoring, and other Kaplan options to plan your GMAT test prep around your schedule."
Approved,730,"<p>Plan your GMAT test prep around your schedule with live online GMAT prep courses, private tutoring, and other Kaplan options designed to help you get the most out of your prep. </p>",20,"If you plan your GMAT test prep, you will get the most out of it. You have to do work on your own and also use resources like Kaplan."
Approved,64,"<p>It may not be necessary to take a course in preparation for the GMAT. If you are very organized and approach preparing for the GMAT as carefully as you do for your applications, you are in a position to study on your own. </p>",21,"To prepare for the GMAT it might not be necessary to take a prep course. If you take a methodical approach and are careful in your studies, you can ace the exam on your own."
Approved,434,"<p>It may not be necessary to take a course in preparation for the GMAT. If you are very organized and approach preparing for the GMAT as carefully as you do for your applications, you are in a position to study on your own. </p>",21,You might not need to take a whole class to get ready for the GMAT. You can prepare on your own if you work really hard.
Approved,478,"<p>A disc jockey is a person who mixes different sources of pre-existing recorded music as it is playing, usually for a live audience in a nightclub or dance club or via broadcasting.</p><p>DJs use equipment that can play at least two sources of recorded music simultaneously and mix them together. This allows the DJ to create seamless transitions between recordings and develop unique mixes of songs. </p>",22,"Disc jockeys are people who mix different existing music together as the music is playing; DJs often work in dance clubs, radio, and/or nightclubs.
DJs will use certain equipment that allows them to play 2 separate sources of music at the same time, so that they can be mixed together. The DJ will transition between the songs to develop his own mix."
Approved,104,"<p>A disc jockey is a person who mixes different sources of pre-existing recorded music as it is playing, usually for a live audience in a nightclub or dance club or via broadcasting.</p><p>DJs use equipment that can play at least two sources of recorded music simultaneously and mix them together. This allows the DJ to create seamless transitions between recordings and develop unique mixes of songs. </p>",22,"DJs or disc jockeys, are tasked with mixing different songs in real time for nightclubs, dance halls, or radios. 

DJs have special tools that allow them to seamlessly mix two songs or play them over each other. It allows DJs to create new musical works from two previously seperate songs."
Approved,273,"<p>Get creative with the state of the art professional DJ technology. DJ Player Pro goes beyond the laptop DJ with superior audio quality, innovative control and style. </p>",23,"You can unleash your creativity with modern DJ tech. DJ Player Pro is more than just a software, it offers first rate audio quality and great control."
Approved,323,"<p>Get creative with the state of the art professional DJ technology. DJ Player Pro goes beyond the laptop DJ with superior audio quality, innovative control and style. </p>",23,"The professional DJ technology makes to innovative. It has far better audio quality, control mechanisms and style of using"
Approved,143,"<p>Google Maps is a web mapping service developed by Google. It offers satellite imagery, street maps, 360° panoramic views of streets (Street View), real-time traffic conditions (Google Traffic), and route planning for traveling by foot, car, bicycle (in beta), or public transportation. </p>",24,"Google Maps, created by Google, offers satellite imagery, street maps, 360 panoramic views of streets (Street View), real-time traffic conditions (Google Traffic), and route planning for traveling by foot, car, bicycle (in beta), or public transportation."
Approved,270,"<p>Google Maps is a web mapping service developed by Google. It offers satellite imagery, street maps, 360° panoramic views of streets (Street View), real-time traffic conditions (Google Traffic), and route planning for traveling by foot, car, bicycle (in beta), or public transportation. </p>",24,"Google Maps is a satellite imagery based web mapping service developed by Google. Google Maps offers both aerial and on foot 360° panoramic street views, real-time traffic conditions and time oriented route planning for your choice of travel. Whether it be by foot, car, bicycle (currently in beta), or public transportation."
Approved,78,"<p>A map is a symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes. Many maps are static, fixed to paper or some other durable medium, while others are dynamic or interactive. </p>",25,"A map depicts relationships between different elements symbolically, such as themes, objects or regions. Most maps are fixed, static on paper or some other permanent medium, while others can be interactive or dynamic."
Approved,225,"<p>A map is a symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes. Many maps are static, fixed to paper or some other durable medium, while others are dynamic or interactive. </p>",25,"A map shows relationships between things such as objects, regions, or themes. A lot of maps are made on paper, but there are also some maps that you can interact with."
Approved,304,"<p>Dinosaurs are a diverse group of reptiles of the clade Dinosauria that first appeared during the Triassic period. Although the exact origin and timing of the evolution of dinosaurs is the subject of active research, the current scientific consensus places their origin between 231 and 243 million years ago. </p>",26,"Dinosaurs are reptiles composed of a great diversity. They are of the clade Dinaosauria, beginning at the Triassic period. Most of the scientists places their origin in the period between 231 and 243 million years ago, but this is subject of some controversies."
Approved,29,"<p>Dinosaurs are a diverse group of reptiles of the clade Dinosauria that first appeared during the Triassic period. Although the exact origin and timing of the evolution of dinosaurs is the subject of active research, the current scientific consensus places their origin between 231 and 243 million years ago. </p>",26,"Dinosaurs were reptiles that appeared during the Triassic period. No one knows for sure when and where they appeared, but they think it was about 230 million years ago."
Approved,411,"<p>Dinosaurs is an American family sitcom comedy television series that was originally broadcast on ABC from April 26, 1991 to July 20, 1994. The show, about a family of anthropomorphic dinosaurs (portrayed by puppets), was produced by Michael Jacobs Productions and Jim Henson Productions in association with Walt Disney Television and distributed by Buena Vista International, Inc.. </p>",27,"Between April 26, 1991 and July 20 1994, ABC first aired a comical American family sitcom series. This series was called Dinosaurs and was about a family of human-like dinosaurs. It was cast using puppets rather than todays CGI graphics. The series was produced by Michael Jacobs Productions and Jim Henson Productions. It was also surprisingly associated with Walt Disney Television and distributed by Buena Vista International Inc."
Approved,468,"<p>Dinosaurs is an American family sitcom comedy television series that was originally broadcast on ABC from April 26, 1991 to July 20, 1994. The show, about a family of anthropomorphic dinosaurs (portrayed by puppets), was produced by Michael Jacobs Productions and Jim Henson Productions in association with Walt Disney Television and distributed by Buena Vista International, Inc.. </p>",27,"Michael Jacobs Productions along with Jim Henson Productions created a sitcom called Dinosaurs. This family friendly show ran from April 26, 1991 to July 20, 1994 and portrayed a family of dinosaurs living in modern times. The acting was done using puppets in association with Walt Disney and distributed through Buena Vista International, Inc."
Approved,232,"<p>Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more.</p><p>ESPN First Take is the hottest sports debate show on television.</p><p>SportsCenter with Scott Van Pelt showcases SVP’s unique view of the sports world. </p>",28,"To get up-to-the-minute sports news coverage, score, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more visit ESPN.

ESPN First Take is the hottest show on television for sports debate.

SportsCenter with Scott Van Pelt shows SVP's unque view of the sports world"
Approved,88,"<p>Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more.</p><p>ESPN First Take is the hottest sports debate show on television.</p><p>SportsCenter with Scott Van Pelt showcases SVP’s unique view of the sports world. </p>",28,"You can get all of your major sports updates- NFL, MLB, College Football, NCAA Basketball and more, from ESPN. They have scores, news coverage, commentary, and highlights.

The hottest sports debate show is ESPN First Take.

Scott Van Pelt showcases a unique view of the sports world on SportsCenter."
Approved,40,"<p>The ESPN App is the #1 Sports App in the market. The app gives you up-to-the-minute scores and the latest news, live video and audio streaming across ESPN’s networks, and loads of video highlights. </p>",29,"The top Sports App in the market is the ESPN App. It gives you the most recent news, audio streaming, video high lights and the latest scores."
Approved,42,"<p>The ESPN App is the #1 Sports App in the market. The app gives you up-to-the-minute scores and the latest news, live video and audio streaming across ESPN’s networks, and loads of video highlights. </p>",29,"Up-to-the-minute scores and videos, video highlights, and more can be found on the #1 Sports App, the ESPN App."
Approved,475,"<p>Welcome to the Arizona Game & Fish Department's Hunt Draw Application System. The application period for the 2017 Fall Draw is now closed. If you would like more information on the draw, please visit www.azgfd.gov/draw  </p>",30,"Welcome to the Arizona Game and Fish Department's Hunt Draw Application System.  The application time for the 2017 Fall Draw hasn't closed yet.  If you want more information on the draw, check out www.azgfd.gov/draw"
Approved,759,"<p>Welcome to the Arizona Game & Fish Department's Hunt Draw Application System. The application period for the 2017 Fall Draw is now closed. If you would like more information on the draw, please visit www.azgfd.gov/draw  </p>",30,This is the site for the Arizona hunt draw application system. We aren't taking more applications for the 2017 draw.
Approved,95,"<p>The Arizona Game and Fish Department is a state agency of Arizona, headquartered in Phoenix. The agency is tasked with conserving, enhancing, and restoring Arizona's diverse wildlife resources and habitats through aggressive protection and management programs. </p>",31,"Based in Phoenix, Arizona, the Arizona Game and Fish Department is a state agency whose goals are to maintain and improve the wildlife and habitats of Arizona through potent programs of protection and management"
Approved,33,"<p>The Arizona Game and Fish Department is a state agency of Arizona, headquartered in Phoenix. The agency is tasked with conserving, enhancing, and restoring Arizona's diverse wildlife resources and habitats through aggressive protection and management programs. </p>",31,The Arizona game and fish department is based in Phoenix. It works to keep the environment and wildlife balanced and safe.
Approved,104,"<p>Major poker tournaments such as the World Poker Tour and World Series of Poker, use standings to determine a player of the year. </p>",32,The World Poker Tour and World Series of Poker are two major poker tournaments which use standings to determine a player of the year.
Approved,280,"<p>Major poker tournaments such as the World Poker Tour and World Series of Poker, use standings to determine a player of the year. </p>",32,Some big poker tournaments like the World Poker Tour and World Series of Poker use rankings to decide who is the player of the year.
Approved,142,"<p>Every poker tournament series, event and festival in the US and Canada is here on PokerAtlas, including the World Series of Poker (WSOP), World Poker Tour (WPT), Heartland Poker Tour (HPT), and all others. </p>",33,"On PokerAtlas we have every poker tournament series,even and festival in the US and Canada, including the World Series of Poker(WSOP) , World Poker Tour(WPT), Heartland Poker Tour(HPT) and all others."
Approved,270,"<p>Every poker tournament series, event and festival in the US and Canada is here on PokerAtlas, including the World Series of Poker (WSOP), World Poker Tour (WPT), Heartland Poker Tour (HPT), and all others. </p>",33,"All of the poker turnament series, events and festivals in the United States and Canada can be found here on PokerAtlas, including the World Series of Poker (WSOP), World Poker Tour (WPT), and Heartland Poker Tour (HPT), and all the rest too."
Approved,199,"<p>The Knot Wedding Budget Calculator, which automatically tells you how much you should be spending on everything from music to mother-in-law gifts, and allows you to track all your payments and their due dates. </p>",34,The Knot Wedding Budget Calculator is a great way to keep your wedding budget on track from mother in-law gifts to music.
Approved,284,"<p>The Knot Wedding Budget Calculator, which automatically tells you how much you should be spending on everything from music to mother-in-law gifts, and allows you to track all your payments and their due dates. </p>",34,The Knot Wedding Budget Calculator tells you automatically how much money you should be spending on almost everything from music to gifts for your In-Laws. This calculator also allows you to track all of your payments as well as their due dates.
Approved,89,<p>This free online Wedding Budget Calculator will help you when budgeting for a wedding by allowing you to create your own self-calculating worksheet -- either from scratch or from a sample wedding budget. </p>,35,"Whether you have a sample wedding budget or are working from scratch, our Wedding Budget calculator will help you create a self-calculating worksheet. It's certainly worth taking advantage of this free online resource!"
Approved,240,<p>This free online Wedding Budget Calculator will help you when budgeting for a wedding by allowing you to create your own self-calculating worksheet -- either from scratch or from a sample wedding budget. </p>,35,"The Wedding Budget Calculator online helps you set a budget and lets you put your own numbers in, either from your own info or a sample budget."
Approved,55,"<p>The Current, a non-commercial radio station in Minnesota, plays the best new music next to the music you already love, from local to legendary. </p>",36,A non commercial radio station in Minnesota is The Current. It plays the best new music in addition to local and legendary music.
Approved,146,"<p>The Current, a non-commercial radio station in Minnesota, plays the best new music next to the music you already love, from local to legendary. </p>",36,"A commercial-free music radio station, The Current, spins the greatest modern hits of today paired with the legendary hits of yesterday. You will love the tasteful mix of old and new."
Approved,237,<p>The Current debuted in February 2012 as a way to keep local residents updated on topics and trends that are significant and unique to life in the greater Spokane Valley. </p>,37,"The people of the greater Spokane Valley have since February 2012 a local news outlet, The Current, to keep them informed about trends and topics close to their home."
Approved,58,<p>The Current debuted in February 2012 as a way to keep local residents updated on topics and trends that are significant and unique to life in the greater Spokane Valley. </p>,37,In February 2012 The Current started up in order for residents to be kept updated on information which is relevant to the Spokane Valley area
Approved,83,<p>The Land Rover Defender (initially called the Land Rover Ninety and Land Rover One Ten) is a British four-wheel-drive off-road SUV developed from the original Land Rover Series launched in June 1948. In October 2013 Land Rover announced that production would end in December 2015 after a continuous run of 67 years. </p>,38,"The original Land Rover Series was launched in June 1948 and production ended in December 2015 after a continuous run of 67 years. This British four wheel drive off road sport utility vehicle has been called the Land Rover Defender, the Land Rover Ninety, and the Land Rover One Ten."
Approved,208,<p>The Land Rover Defender (initially called the Land Rover Ninety and Land Rover One Ten) is a British four-wheel-drive off-road SUV developed from the original Land Rover Series launched in June 1948. In October 2013 Land Rover announced that production would end in December 2015 after a continuous run of 67 years. </p>,38,"Originally called the Land Rover Ninety and Land Rover One Ten, the Land Rover Defender is an off road four wheel drive SUVm. Launched in June of 1948, Land Rover announced they would halt production on the line in 2015, ending an unbroken 67 year run."
Approved,328,"<p>'The Defenders is a set of fictional superhero groups with fluctuating membership appearing in American comic books published by Marvel Comics. They are usually presented as a ''non-team'' of individualistic ''outsiders'' who, in their prior adventures, are known for following their own agendas.' </p>",39,"'The Defenders' is a group of superhero groups with varying membership appearing in American comic books, specifically those by Marvel Comics.  They tend to show a ""non-team"" of lonesome ""outsiders"" who, in their previous adventures, have been known for having their own goals and agendas."
Approved,164,"<p>'The Defenders is a set of fictional superhero groups with fluctuating membership appearing in American comic books published by Marvel Comics. They are usually presented as a ''non-team'' of individualistic ''outsiders'' who, in their prior adventures, are known for following their own agendas.' </p>",39,One of the comic books that Marvel Comics has published is The Defenders.  This comic features a revolving set of outsiders that do things their own way and have been featured in their own comics.
Approved,388,"<p>We’re extremely proud that our S90 was one of the three top contenders for the North American Car of the Year Award.</p><p>Combining innovative technology with refined Scandinavian design, the XC90 is the most awarded luxury SUV of the century. </p>",40,"We are very satisfied because our S90 ranked one of the 3 time contenders for vehicle of the year award in North America. It fuses new technology with detailed Scandinavian representation, the luxury SUV with most awards is the XC90. It has received the most award within 100 years."
Approved,513,"<p>We’re extremely proud that our S90 was one of the three top contenders for the North American Car of the Year Award.</p><p>Combining innovative technology with refined Scandinavian design, the XC90 is the most awarded luxury SUV of the century. </p>",40,"The fact that our S90 made it in the top three for the North American Car of the Year Award, fills us with deep, and extreme pride.

Through our use of forward-thinking technology, and combining it with Scandavian designs, the XC90 has received the most awards of any luxury SUV this century."
