document,id
"<p>The Music Man is a musical with book, music, and lyrics by Meredith Willson, based on a story by Willson and Franklin Lacey. The plot concerns con man Harold Hill, who poses as a boys' band organizer and leader and sells band instruments and uniforms to the naive Iowa townsfolk, promising to train the members of the new band. </p>",82
"<p>The Music Man is a 1962 American musical film starring Robert Preston as Harold Hill and Shirley Jones as Marian Paroo. The film is based on the 1957 Broadway musical of the same name by Meredith Willson. </p>",83
"<p>The Secret Garden is a children's novel by Frances Hodgson Burnett first published as a book in 1911, after a version was published as an American magazine serial beginning in 1910. </p>",84
"<p>The Secret Garden is a 1993 American-British drama fantasy film directed by Agnieszka Holland and starring Kate Maberly, Heydon Prowse, Andrew Knott, John Lynch and Maggie Smith. </p>",85
"<p>Map of the United States of America. Map showing the states, capitals and major cities of the United States.</p><p>Map of the USA mainland with states borders and capital cities. </p>",86
"<p>Here, we look at 22 maps that show us the similarities and differences between Americans. It's a big country and every state is unique. </p>",87
"<p>Solar panels absorb the sunlight as a source of energy to generate electricity or heat. A photovoltaic (PV) module is a packaged, connect assembly of typically 6x10 photovoltaic solar cells. </p>",88
"<p>Wholesale Solar offers all brands of solar panels at the best prices. Compare solar panels below by brand and price, or by wattage, amps, volts, power tolerances, and weight. </p>",89
"<p>The Alexians, Alexian Brothers or Cellites are a Catholic religious institute or congregation specifically devoted to caring for the sick which has its origin in Europe at the time of the Black Death.</p><p>In the early 20th century the Alexian Brothers had four hospitals in the United States. The first was built in Chicago in 1866; it was destroyed by the Great Fire, on 9 October 1871, and rebuilt the following year. </p>",90
"<p>After he was fatally shot, on the 22nd of July 1934, John Dillinger was rushed to the Alexian Brothers Hospital. Here, in a small room on Chicago's Northwest side, Dillinger was pronounced dead. </p>",91
"<p>An equity-indexed annuity is a hybrid between a fixed and variable annuity. It is a fixed annuity by legal statute, but it has offerings inside of it that allow the contract holder to invest in stock market indices such as the S&P 500, Dow Jones, and Nasdaq 100. </p>",92
"<p>An indexed annuity (the word equity previously tied to indexed annuities has been removed to help prevent the assumption of stock market vesting being present in these products) in the United States is a type of tax-deferred annuity whose credited interest is linked to an equity index — typically the S&P 500 or international index. </p>",93
"<p>Mount Wilson is one of the better-known peaks of the San Gabriel Mountains, located within the San Gabriel Mountains National Monument and Angeles National Forest in Los Angeles County, California.</p><p>The first television antenna on Mount Wilson was erected in 1947 for pioneer station KTLA channel 5. At about the same time, the first FM station broadcast from Mount Wilson, which was the old KFI-FM on 105.9 FM (signed off in 1950). </p>",94
"<p>Wilson Trucker Antennas offer the highest allowable gain for a vehicle cellular antenna. The Wilson Trucker has an omni-directional design for the professional drivers that demand top performance from their equipment. </p>",95
"<p>Searching for the perfect flame design items? Shop at Etsy to find unique and handmade flame design related items directly from our sellers. </p>",96
"<p>FlamingText is free online logo generator that anyone can use to create a great logo in minutes! Just select one of our logo designs, and get started now! </p>",97
"<p>Estrus, or heat, is the stage in a female dog's reproductive cycle during which she becomes receptive to mating with males. At this time, estrogen levels first increase and then sharply decrease, and mature eggs are released from the ovaries. Ideally, your dog should be spayed before she enters her first heat cycle. </p>",98
"<p>If you own an unspayed female, knowing the symptoms of a dog in heat can be very important to managing her reproductive cycle. Learning the stages of the cycle will allow you to recognize symptoms like personality changes, appetite changes, and more as symptoms of a dog in heat rather than something that requires a visit to the vet. </p>",99
"<p>A horse hoof is a structure surrounding the distal phalanx of the 3rd digit (digit III of the basic pentadactyl limb of vertebrates, evolved into a single weight-bearing digit in equids) of each of the four limbs of Equus species, which is covered by complex soft tissue and keratinised (cornified) structures. </p>",100
"<p>“No hoof, no horse.” It’s such a simple statement, but it holds so much truth. Your horse’s hooves provide the foundation for everything you two do together, so it’s important to know the horse hoof care that will keep them healthy and sound. </p>",101
"<p>Alien vs. Predator (also known as Aliens vs. Predator, abbreviated AvP or AVP) is a science fiction horror franchise spanning several media. The series is a crossover between the Alien and Predator franchises.  </p>",102
"<p>Alien vs. Predator (also abbreviated as AVP) is a 2004 science fiction action horror film written and directed by Paul W. S. Anderson and starring Sanaa Lathan, Lance Henriksen and Raoul Bova. </p>",103
"<p>Discovery Communications has said it will close all its mall-based and stand-alone Discovery Channel Stores and focus on its e-commerce platform and building partnerships with large retailers for its consumer products. </p>",104
"<p>The Discovery Channel Store, Inc. provides various types of gadgets, home accessories, educational toys and games, and jewelry. It also offers CDs that contain videos taken from the Discovery Channel. </p>",105
"<p>Since the amendment's adoption, five presidents have served two full terms: Dwight D. Eisenhower, Ronald Reagan, Bill Clinton, George W. Bush and Barack Obama. Jimmy Carter and George H. W. Bush sought a second term, but were defeated. Richard Nixon was elected to a second term, but resigned before completing it. </p>",106
"<p>The first, George Washington, won a unanimous vote of the Electoral College. Grover Cleveland served two non-consecutive terms in office, and is counted as the nation's 22nd and 24th president. Thus the incumbent, Donald Trump, is the nation's 45th president. There are currently five living former presidents. </p>",107
"<p>Iron is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26. It is a metal in the first transition series. It is by mass the most common element on Earth, forming much of Earth's outer and inner core. </p>",108
"<p>Iron is a mineral that our bodies need for many functions. For example, iron is part of hemoglobin, a protein which carries oxygen from our lungs throughout our bodies. </p>",109
"<p>The USS YORKTOWN (CV-10) was the tenth aircraft carrier to serve in the United States Navy.</p><p>In 1975, this historic ship was towed from Bayonne, NJ to Charleston to become the centerpiece of Patriots Point Naval & Maritime Museum. </p>",110
"<p>The impressive USS Yorktown CV-10 aircraft carrier is one of the many sights to see at Patriot’s Point museum in Mount Pleasant, South Carolina. 900 feet in length and weighing more than 27,000 tons, this carrier was nicknamed the “Fighting Lady” by its crew of 2,500 sailors during World War II. </p>",111
"<p>Welcome to CTjobs.com Work Closer. Work Happier. Proud to be Connecticut's Leading Resource for Jobseekers and Employers for over 10 Years.  </p>",112
"<p>Detailed information is available for residents seeking state jobs that require exams. The list includes the job title, agency name, class code, exam date and specifies who is eligible to take the exam. </p>",113
"<p>Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds. They live almost exclusively in the Southern Hemisphere, with only one species, the Galapagos penguin, found north of the equator. </p>",114
"<p>It takes blood, sweat and tears for a hockey team to win the Stanley Cup. For the Penguins, the blood and sweat were spilled into rinks ... </p>",115
"<p>10 Things You Must Know About Installing a Fence Installing a fence is as easy as 1-2-3 if you take these tips into consideration. How to Build a Wooden Gate 8 Steps </p>",116
"<p>There are many reasons for building a fence. Security, noise reduction and boundary definition are practical reasons. A well-designed and installed fence is also a stylish addition to your landscape. </p>",117
"<p>Bellevue is a Canadian television crime drama series, it premiered on CBC Television on February 20, 2017. Created by Jane Maggs and Adrienne Mitchell, the series stars Anna Paquin as Annie Ryder, a police officer investigating the disappearance of a transgender teen while also dealing with the return of a mysterious person from her past. </p>",118
"<p>Bellevue Palace (German: Schloss Bellevue), located in Berlin's Tiergarten district, has been the official residence of the President of Germany since 1994. </p>",119
"<p>Worms /ˈwɜːrm/ are many different distantly related animals that typically have a long cylindrical tube-like body and no limbs. Worms vary in size from microscopic to over 1 metre (3.3 ft) in length for marine polychaete worms (bristle worms), 6.7 metres (22 ft) for the African giant earthworm, Microchaetus, and 58 metres (190 ft) for the marine nemertean worm (bootlace worm), Lineus longissimus. </p>",120
"<p>If you don’t want any spoilers at all, click here to start! Worm finished in November of 2013. A polished version is in the works for print/ebook release. Readers may also enjoy Wildbow’s other stories Pact (complete) and Twig (in progress). </p>",121
"<p>Rio Grande Valley Sector Texas. I would like to take this opportunity to welcome you to the Rio Grande Valley Border Patrol Sector webpage. </p>",122
"<p>Welcome to the Laredo Sector of the United States Border Patrol.</p><p>The Laredo Sector covers 110,000 square miles in 116 counties, all the way to the Texas, Oklahoma, and Arkansas borders. </p>",123
"<p>Flushing is a neighborhood in the New York City borough of Queens in the United States. While much of the neighborhood is residential, Downtown Flushing, centered on the northern end of Main Street in Queens, is a large commercial and retail area and is the fourth largest central business district in New York City. </p>",124
"<p>Flushing is generally distinguished, despite a close physiological relation between them, from blushing, which is milder, generally restricted to the face, cheeks or ears, and generally assumed to reflect emotional stress, such as embarrassment, anger, or romantic stimulation. </p>",125
"<p>Moths comprise a group of insects related to butterflies, belonging to the order Lepidoptera. Most lepidopterans are moths; and there are thought to be approximately 160,000 species of moth, many of which are yet to be described. </p>",126
"<p>Clothes moths are well-known as pests of stored woolens, but they will eat a wide range of other fibers including hair, fur, silk, felt and feathers. Serious infestations of clothes moths can develop undetected in a home, causing significant damage to clothing, bedding, floor coverings and other articles. </p>",127
"<p>The Korean language (한국어/조선말, see below) is the official and national language of both Koreas: the Democratic People's Republic of Korea and the Republic of Korea, with different standardized official forms used in each territory. </p>",128
"<p>The first step in learning the Korean language is becoming familiar with the Korean alphabet, as it’s likely considerably different from the other languages you’re familiar with. </p>",129
"<p>If your income is above Rs 5 lakh, you have to file income tax return online. The last date of filing income tax return is generally July 31 of every year. </p>",130
"<p>Make a personal income tax return payment online. If you would like to make an income tax return payment, you can make your payment directly on our website. </p>",131
"<p>The main purpose of VLDL is to distribute the triglyceride produced by your liver. A high VLDL cholesterol level can cause the buildup of cholesterol in your arteries and increases your risk of heart disease and stroke. </p>",132
"<p>Very-low-density lipoprotein (VLDL), density relative to extracellular water, is a type of lipoprotein made by the liver. </p>",133
"<p>Polyvinyl chloride also known as poly(vinyl chloride), commonly abbreviated PVC, is the world's third-most widely produced synthetic plastic polymer, after polyethylene and polypropylene. </p>",134
"<p>What is PVC? Plastics are also called synthetic resins and are broadly classified into two categories: thermosetting resins and thermoplastic resins. </p>",135
"<p>Do you want to sew something for your home or to give as a gift? These beginner sewing projects all include easy step-by-step instructions, photos, diagrams, and free patterns to help you successfully sew your first project (and learn basic sewing skills on the way!) </p>",136
"<p>How to Read a Sewing Pattern. Sewing patterns are often complex and challenging to follow. Combat frustration with proper preparation. Patterns contain four parts, each of which should be studied thoroughly. </p>",137
"<p>'To be, or not to be is the opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ''nunnery scene'' of William Shakespeare's play Hamlet. Act III, Scene I.' </p>",138
"<p>Here, however, Hamlet seems less introspective about his failure to kill Claudius than perhaps his failure to take his own life.</p><p>To be, or not to be: that is the question: </p>",139
"<p>Living in India can offer expats a taste of life in an exotic and diverse place. It is a bright and vibrant country with an eclectic mix of different cultures and people. </p>",140
"<p>As I pen my answer, I am assuming this question is from the perspective of an 'Indian' looking for advantages of living in India over living in the US. Well, the answer is time and context sensitive. </p>",141
"<p>The Sun is a tabloid newspaper published in the United Kingdom and Ireland. Since The Sun on Sunday was launched in February 2012, the paper has been a seven-day operation. </p>",142
"<p>The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. </p>",143
"<p>Neil Percival Young, OC OM (born November 12, 1945), is a Canadian singer-songwriter, musician, producer, director and screenwriter. Young began performing in a group covering Shadows instrumentals in Canada in 1960. </p>",144
"<p>'Neil Young Will No Longer Host Bridge School Benefit Concert Artist cites ''personal reasons'' for bowing out after 30 years of event, which won't be held in 2017' </p>",145
"<p>Kiwi is the nickname used internationally for people from New Zealand, as well as being a relatively common self-reference. The name derives from the kiwi, a flightless bird, which is native to—and the national symbol of—New Zealand. </p>",146
"<p>Kiwis are small fruits that pack a lot of flavor and plenty of health benefits. Their green flesh is sweet and tangy. It’s also full of nutrients like vitamin C, vitamin K, vitamin E, folate, and potassium. </p>",147
"<p>A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud. </p>",148
"<p>Tornadoes are nature’s most violent storms. Spawned from powerful thunderstorms, tornadoes can cause fatalities and devastate a neighborhood in seconds. </p>",149
"<p>For the experienced gardener or the novice, raised garden beds take the hassle out of horticulture. Here are tips on planning, building, protecting and irrigating raised bed gardens.</p><p>Experienced gardeners use raised beds to sidestep a long list of gardening challenges. </p>",150
"<p>Raised beds take very little space, and can be built right over a concrete patio. Drainage in a raised bed is superior to that in an in-ground garden bed. </p>",151
"<p>The bobcat (Lynx rufus) is a North American cat that appeared during the Irvingtonian stage of around 1.8 million years ago (AEO). Containing 12 recognized subspecies, it ranges from southern Canada to central Mexico, including most of the contiguous United States. </p>",152
"<p>The most common wildcat in North America, the bobcat is named for its short, bobbed tail. They are medium-sized cats and are slightly smaller but similar in appearance to their cousin, the lynx. </p>",153
"<p>Dieting is the practice of eating food in a regulated and supervised fashion to decrease, maintain, or increase body weight. In other words, it is conscious control or restriction of the diet. </p>",154
"<p>'If you only need to maintain your current weight, shaving 100 calories a day is enough to avoid the extra 1-2 pounds most adults gain each year. Adopt one or more of these simple, painless strategies to help lose weight without going on a ''diet'': Eat Breakfast Every Day.' </p>",155
"<p>The Voyager program is a continuing American scientific program that employs two robotic probes, Voyager 1 and Voyager 2, to study the outer Solar System. </p>",156
"<p>Star Trek: Voyager aired on UPN and was the network's second-longest running series. The series consists of 172 episodes 45 minutes in length; however on its first run the pilot was a single, 1½-hour show that was later split in two for syndication; There are a number of other feature length paired episodes that reduce the number of separate showings, such as on a streaming service. </p>",157
"<p>Whether you're working or playing, your keyboard is an integral part of your desktop setup. Our buying advice and top-rated reviews will help you find a keyboard you'll love. </p>",158
"<p>The Brydge 12.3 keyboard makes the Surface Pro easier to balance on your lap and offers a good typing experience, but its weak build quality leaves much to be desired. </p>",159
"<p>Afghanistan, officially the Islamic Republic of Afghanistan, is a landlocked country located within South Asia and Central Asia. It has a population of 33 million, making it the 42nd most populous country in the world. </p>",160
