AssignmentStatus,WorkTimeInSeconds,Input.case,Input.query,Input.title,Input.link,Input.snippet_A,Input.snippet_B,Answer.better,Answer.case,Answer.query
Approved,27,6,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",1,6|6,French Lick Resort and Casino
Approved,68,6,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",1,6|6,French Lick Resort and Casino
Approved,46,6,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",g,6|6,French Lick Resort and Casino
Approved,36,6,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",g,6|6,French Lick Resort and Casino
Approved,18,6,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",2,6|6,French Lick Resort and Casino
Approved,38,7,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million.</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",1,7|7,French Lick Resort and Casino
Approved,41,7,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million.</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",g,7|7,French Lick Resort and Casino
Approved,8,7,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million.</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",2,7|7,French Lick Resort and Casino
Approved,16,7,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million.</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",1,7|7,French Lick Resort and Casino
Approved,26,7,French Lick Resort and Casino,French Lick Resort Casino - Wikipedia,https://en.wikipedia.org/wiki/French_Lick_Resort_Casino,"<p>In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million.</p>","<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",2,7|7,French Lick Resort and Casino
Approved,42,12,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations.</p>",2,12|12,Toilet
Approved,27,12,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations.</p>",g,12|12,Toilet
Approved,16,12,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations.</p>",g,12|12,Toilet
Approved,24,12,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations.</p>",g,12|12,Toilet
Approved,132,12,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations.</p>",1,12|12,Toilet
Approved,93,13,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets.</p>",2,13|13,Toilet
Approved,54,13,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets.</p>",g,13|13,Toilet
Approved,25,13,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets.</p>",g,13|13,Toilet
Approved,99,13,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets.</p>",1,13|13,Toilet
Approved,55,13,Toilet,Toilet - Wikipedia,https://en.wikipedia.org/wiki/Toilet,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>","<p>Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets.</p>",g,13|13,Toilet
Approved,48,16,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted.</p>",2,16|16,Mitchell college
Approved,48,16,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted.</p>",g,16|16,Mitchell college
Approved,48,16,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted.</p>",2,16|16,Mitchell college
Approved,32,16,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted.</p>",1,16|16,Mitchell college
Approved,25,16,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted.</p>",1,16|16,Mitchell college
Approved,96,17,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%.</p>",2,17|17,Mitchell college
Approved,29,17,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%.</p>",2,17|17,Mitchell college
Approved,29,17,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%.</p>",g,17|17,Mitchell college
Approved,46,17,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%.</p>",1,17|17,Mitchell college
Approved,48,17,Mitchell college,Mitchell College - Wikipedia,https://en.wikipedia.org/wiki/Mitchell_College,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>","<p>Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%.</p>",g,17|17,Mitchell college
Approved,15,20,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset.</p>",2,20|20,KCS
Approved,13,20,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset.</p>",g,20|20,KCS
Approved,39,20,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset.</p>",g,20|20,KCS
Approved,67,20,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset.</p>",1,20|20,KCS
Approved,13,20,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>A service delivery method known as KCS or Knowledge Centered Service, focuses on organizational implements that use knowledge as a key asset.</p>",1,20|20,KCS
Approved,11,21,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset.</p>",2,21|21,KCS
Approved,33,21,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset.</p>",g,21|21,KCS
Approved,94,21,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset.</p>",1,21|21,KCS
Approved,13,21,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset.</p>",2,21|21,KCS
Approved,87,21,KCS,Knowledge-Centered Support - Wikipedia,https://en.wikipedia.org/wiki/Knowledge-Centered_Support,<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>,"<p>Knowledge Centered Service (KCS) is a methodology of delivering service, in which the organization implementing the same consider knowledge as the key asset.</p>",g,21|21,KCS
Approved,73,24,Air travel information,Air travel - Wikipedia,https://en.wikipedia.org/wiki/Air_travel,"<p>Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel.</p>","<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",1,24|24,Air travel information
Approved,16,24,Air travel information,Air travel - Wikipedia,https://en.wikipedia.org/wiki/Air_travel,"<p>Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel.</p>","<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",b,24|24,Air travel information
Approved,17,24,Air travel information,Air travel - Wikipedia,https://en.wikipedia.org/wiki/Air_travel,"<p>Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel.</p>","<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",1,24|24,Air travel information
Approved,28,24,Air travel information,Air travel - Wikipedia,https://en.wikipedia.org/wiki/Air_travel,"<p>Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel.</p>","<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",b,24|24,Air travel information
Approved,27,24,Air travel information,Air travel - Wikipedia,https://en.wikipedia.org/wiki/Air_travel,"<p>Helicopters, hot air balloons, gliders, parachuting, blimps, hang gliding, jets, airplanes, and other vehicles that can sustain flight constitute air travel.</p>","<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",2,24|24,Air travel information
